"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1KYSH0012","2019-02-12","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  523",",,N",,,,,,
"US1KYSH0012","2019-02-13","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  124",",,N",,,,,,
"US1KYSH0012","2019-02-14","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-02-15","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-02-16","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-02-17","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-02-18","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0","T,,N",,,,,,
"US1KYSH0012","2019-02-19","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-02-24","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US",,,,,"    5",",,N","  663",",,N"
"US1KYSH0012","2019-02-25","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-02-26","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-02-27","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-02-28","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-04","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-05","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-06","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-12","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-14","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    3",",,N",,,,,,
"US1KYSH0012","2019-03-16","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US",,,,,"    2",",,N","  251",",,N"
"US1KYSH0012","2019-03-17","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-23","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-24","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-25","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  114",",,N",,,,,,
"US1KYSH0012","2019-03-26","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-27","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-28","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-29","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-03-30","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0","T,,N",,,,,,
"US1KYSH0012","2019-03-31","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  226",",,N",,,,,,
"US1KYSH0012","2019-04-01","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-02","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-03","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-04","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-05","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","   71",",,N",,,,,,
"US1KYSH0012","2019-04-06","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","   15",",,N",,,,,,
"US1KYSH0012","2019-04-07","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","   41",",,N",,,,,,
"US1KYSH0012","2019-04-08","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  114",",,N",,,,,,
"US1KYSH0012","2019-04-09","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    8",",,N",,,,,,
"US1KYSH0012","2019-04-10","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-11","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-12","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0","T,,N",,,,,,
"US1KYSH0012","2019-04-13","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    5",",,N",,,,,,
"US1KYSH0012","2019-04-14","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  262",",,N",,,,,,
"US1KYSH0012","2019-04-15","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","   13",",,N",,,,,,
"US1KYSH0012","2019-04-16","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-17","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-18","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-19","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  140",",,N",,,,,,
"US1KYSH0012","2019-04-21","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US",,,,,"    2",",,N","  394",",,N"
"US1KYSH0012","2019-04-22","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-23","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-24","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","   51",",,N",,,,,,
"US1KYSH0012","2019-04-25","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  114",",,N",,,,,,
"US1KYSH0012","2019-04-26","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  229",",,N",,,,,,
"US1KYSH0012","2019-04-27","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0","T,,N",,,,,,
"US1KYSH0012","2019-04-28","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","   43",",,N",,,,,,
"US1KYSH0012","2019-04-29","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-04-30","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-05-01","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-05-02","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","   18",",,N",,,,,,
"US1KYSH0012","2019-05-03","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  152",",,N",,,,,,
"US1KYSH0012","2019-05-04","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  109",",,N",,,,,,
"US1KYSH0012","2019-05-05","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","  216",",,N",,,,,,
"US1KYSH0012","2019-05-06","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-05-07","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-05-08","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
"US1KYSH0012","2019-05-09","38.2801","-85.0975","273.1","SHELBYVILLE 8.4 ENE, KY US","    0",",,N","    0",",,N",,,,
