"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ZI000067964","1962-12-03","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  261",",,I","  156",",,I","  219","H,,S"
"ZI000067964","1962-12-04","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    5",",,I","  261",",,I","  161",",,I","  219","H,,S"
"ZI000067964","1962-12-05","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    3",",,I","  272",",,I","  172",",,I","  216","H,,S"
"ZI000067964","1962-12-06","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  256",",,I","  161",",,I","  213","H,,S"
"ZI000067964","1962-12-07","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    3",",,I","  283",",,I","  156",",,I","  221","H,,S"
"ZI000067964","1962-12-08","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  267",",,I","  156",",,I","  227","H,,S"
"ZI000067964","1962-12-09","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  261",",,I","  150",",,I","  213","H,,S"
"ZI000067964","1962-12-10","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  150",",,I","  234","H,,S"
"ZI000067964","1962-12-11","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    5",",,I","  272",",,I","  156",",,I","  225","H,,S"
"ZI000067964","1962-12-12","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","   20",",,I","  256",",,I","  161",",,I","  207","H,,S"
"ZI000067964","1962-12-13","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","  450",",,I","  244",",,I","  167",",,I","  202","H,,S"
"ZI000067964","1962-12-14","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  261",",,I","  150",",,I","  215","H,,S"
"ZI000067964","1962-12-15","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","   41",",,I","  289",",,I","  161",",,I","  226","H,,S"
"ZI000067964","1962-12-16","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","   20",",,I","  267",",,I","  172",",,I","  223","H,,S"
