TMAX,TMIN,PRCP,SNWD,DATE,STATION
,  100,,,1975-05-03,AFM00040990
  310,  110,,,1975-05-04,AFM00040990
,,,,1975-05-05,AFM00040990
,,,,1975-05-06,AFM00040990
,,,,1975-05-07,AFM00040990
,,,,1975-05-13,AFM00040990
,  160,,,1975-05-14,AFM00040990
,,,,1975-05-16,AFM00040990
,,,,1975-05-25,AFM00040990
,  160,,,1975-05-29,AFM00040990
,,,,1975-06-02,AFM00040990
,,,,1975-06-06,AFM00040990
,  150,,,1975-06-07,AFM00040990
,,,,1975-06-08,AFM00040990
,,,,1975-06-09,AFM00040990
  360,,,,1975-06-10,AFM00040990
,,,,1975-06-13,AFM00040990
,  150,,,1975-06-14,AFM00040990
,,,,1975-06-15,AFM00040990
,,,,1975-06-16,AFM00040990
,,,,1975-06-17,AFM00040990
,  190,,,1975-06-19,AFM00040990
,,,,1975-06-20,AFM00040990
,,,,1975-06-22,AFM00040990
  370,,,,1975-06-23,AFM00040990
,,,,1975-06-24,AFM00040990
,  150,,,1975-06-25,AFM00040990
,  170,,,1975-06-26,AFM00040990
  410,,,,1975-06-27,AFM00040990
,,,,1975-06-28,AFM00040990
,,,,1975-06-29,AFM00040990
,,,,1975-06-30,AFM00040990
  380,  140,,,1975-07-02,AFM00040990
,,,,1975-07-04,AFM00040990
  410,,,,1975-07-05,AFM00040990
,,,,1975-07-07,AFM00040990
,,,,1975-07-08,AFM00040990
  410,,,,1975-07-09,AFM00040990
,  200,,,1975-07-10,AFM00040990
,,,,1975-07-20,AFM00040990
  400,,,,1975-07-25,AFM00040990
,  220,,,1975-07-26,AFM00040990
  400,,,,1975-07-27,AFM00040990
,,,,1975-07-28,AFM00040990
,  210,,,1975-07-29,AFM00040990
,  210,,,1975-07-30,AFM00040990
,,,,1975-07-31,AFM00040990
,,,,1975-08-01,AFM00040990
,,,,1975-08-02,AFM00040990
,  200,,,1975-08-03,AFM00040990
,  190,,,1975-08-04,AFM00040990
,,,,1975-08-05,AFM00040990
,  190,,,1975-08-06,AFM00040990
,  190,,,1975-08-07,AFM00040990
,,,,1975-08-08,AFM00040990
,,,,1975-08-09,AFM00040990
,  180,,,1975-08-11,AFM00040990
,,,,1975-08-12,AFM00040990
,  180,,,1975-08-13,AFM00040990
,,,,1975-08-14,AFM00040990
,,,,1975-08-15,AFM00040990
  380,,,,1975-08-16,AFM00040990
  380,  260,,,1975-08-18,AFM00040990
,  240,,,1975-08-19,AFM00040990
,  140,,,1975-08-23,AFM00040990
,  120,,,1975-08-25,AFM00040990
