TMAX,TMIN,PRCP,DATE,STATION
  211,   39,    0,1979-11-10,MXN00032112
  206,   28,    0,1979-11-11,MXN00032112
  217,   50,    0,1979-11-12,MXN00032112
  206,   56,    0,1979-11-13,MXN00032112
  217,   67,    0,1979-11-14,MXN00032112
  217,   67,    0,1979-11-15,MXN00032112
  217,   67,    0,1979-11-16,MXN00032112
  206,   72,    0,1979-11-17,MXN00032112
  206,   61,    0,1979-11-18,MXN00032112
  200,   50,    0,1979-11-19,MXN00032112
  206,   67,    0,1979-11-20,MXN00032112
  217,   67,    0,1979-11-21,MXN00032112
  200,   78,    0,1979-11-22,MXN00032112
  206,   39,    0,1979-11-23,MXN00032112
  200,   17,    0,1979-11-24,MXN00032112
  206,   11,    0,1979-11-25,MXN00032112
  200,   11,    0,1979-11-26,MXN00032112
  206,   39,    0,1979-11-27,MXN00032112
  206,   39,    0,1979-11-28,MXN00032112
  206,   50,    0,1979-11-29,MXN00032112
  206,   56,    0,1979-11-30,MXN00032112
  206,   56,    0,1979-12-01,MXN00032112
  200,   56,  439,1979-12-02,MXN00032112
  189,   39,   86,1979-12-03,MXN00032112
  178,   33,   23,1979-12-04,MXN00032112
  150,   78,   36,1979-12-05,MXN00032112
  189,   39,    0,1979-12-06,MXN00032112
  167,   28,    0,1979-12-07,MXN00032112
  189,   56,    0,1979-12-08,MXN00032112
  200,   56,    0,1979-12-09,MXN00032112
  200,   67,    0,1979-12-10,MXN00032112
  200,   89,    0,1979-12-11,MXN00032112
  200,   94,    3,1979-12-12,MXN00032112
  200,   89,    0,1979-12-13,MXN00032112
  200,   89,    0,1979-12-14,MXN00032112
  189,  106,    0,1979-12-15,MXN00032112
  189,  106,    0,1979-12-16,MXN00032112
  178,  100,   10,1979-12-17,MXN00032112
  200,  106,    0,1979-12-18,MXN00032112
  200,   83,    0,1979-12-19,MXN00032112
  200,   78,    0,1979-12-20,MXN00032112
  206,   78,    0,1979-12-21,MXN00032112
  194,   78,    0,1979-12-22,MXN00032112
  194,   83,    0,1979-12-23,MXN00032112
  206,   50,    0,1979-12-24,MXN00032112
  228,   56,    0,1979-12-25,MXN00032112
  206,   56,    0,1979-12-26,MXN00032112
  206,   50,    0,1979-12-27,MXN00032112
  200,   50,    0,1979-12-28,MXN00032112
  200,   28,    0,1979-12-29,MXN00032112
  200,   28,    0,1979-12-30,MXN00032112
  200,   28,    0,1979-12-31,MXN00032112
  217,   39,    0,1980-03-01,MXN00032112
  217,   56,    0,1980-03-02,MXN00032112
  217,   72,    0,1980-03-03,MXN00032112
  217,   67,    0,1980-03-04,MXN00032112
  189,   89,    0,1980-03-05,MXN00032112
  200,   39,    0,1980-03-06,MXN00032112
  250,   56,    0,1980-03-07,MXN00032112
  211,  100,    0,1980-03-08,MXN00032112
  233,   78,    0,1980-03-09,MXN00032112
  239,  100,    0,1980-03-10,MXN00032112
  239,  106,    0,1980-03-11,MXN00032112
  222,  100,    0,1980-03-12,MXN00032112
  217,   78,    0,1980-03-13,MXN00032112
  250,  106,    0,1980-03-14,MXN00032112
  206,  106,    0,1980-03-15,MXN00032112
  200,  100,    0,1980-03-16,MXN00032112
  189,   89,    0,1980-03-17,MXN00032112
  239,   89,    0,1980-03-18,MXN00032112
  228,   83,    0,1980-03-19,MXN00032112
  233,   89,    0,1980-03-20,MXN00032112
  206,   83,    0,1980-03-21,MXN00032112
  206,  100,    0,1980-03-22,MXN00032112
  200,  100,    0,1980-03-23,MXN00032112
  200,   83,    0,1980-03-24,MXN00032112
  194,   78,    0,1980-03-25,MXN00032112
  217,   89,    0,1980-03-26,MXN00032112
  206,   89,    0,1980-03-27,MXN00032112
  228,   89,    0,1980-03-28,MXN00032112
  239,  117,    0,1980-03-29,MXN00032112
  239,  117,    0,1980-03-30,MXN00032112
  244,   89,    0,1980-03-31,MXN00032112
  256,   67,    0,1980-04-01,MXN00032112
  256,  100,    0,1980-04-02,MXN00032112
  294,  100,    0,1980-04-03,MXN00032112
  300,  106,    0,1980-04-04,MXN00032112
  272,  111,    0,1980-04-05,MXN00032112
  272,  117,    0,1980-04-06,MXN00032112
  239,  100,    0,1980-04-07,MXN00032112
  256,   89,    0,1980-04-08,MXN00032112
  250,  100,    0,1980-04-09,MXN00032112
  222,   89,    0,1980-04-10,MXN00032112
  228,   67,    0,1980-04-11,MXN00032112
  228,   83,    0,1980-04-12,MXN00032112
  217,   61,    0,1980-04-13,MXN00032112
  233,   50,    0,1980-04-14,MXN00032112
  239,   56,    0,1980-04-15,MXN00032112
  261,   83,    0,1980-04-16,MXN00032112
  256,  100,    0,1980-04-17,MXN00032112
  250,  106,   38,1980-04-18,MXN00032112
  261,  100,    0,1980-04-19,MXN00032112
  267,  111,    0,1980-04-20,MXN00032112
  239,  117,  102,1980-04-21,MXN00032112
  250,  100,    0,1980-04-22,MXN00032112
  244,   89,    0,1980-04-23,MXN00032112
  228,   78,    0,1980-04-24,MXN00032112
  239,   67,    0,1980-04-25,MXN00032112
  256,   61,    0,1980-04-26,MXN00032112
  267,  100,    0,1980-04-27,MXN00032112
  278,  106,    0,1980-04-28,MXN00032112
  283,  128,    0,1980-04-29,MXN00032112
  250,  117,   10,1980-04-30,MXN00032112
  239,  100,    8,1980-05-01,MXN00032112
  261,   83,    0,1980-05-02,MXN00032112
  278,   89,    0,1980-05-03,MXN00032112
  267,  106,    0,1980-05-04,MXN00032112
  300,  100,    0,1980-05-05,MXN00032112
